kategori,sub_kategori,objek,media_layanan,jawaban
Persyaratan Dokumen,Pembuatan,Surat Pernyataan Belum Memiliki Rumah,-,"Persyaratan Surat Pernyataan Belum memiliki rumah:
1. KK Pemohon *
2. KTP Pemohon *
3. Form Permohonan Rusunawa dari Dinas Perumahan Rakyat dan Kawasan Permukiman serta Pertanahan.*"
Durasi,Pembuatan,Surat Pernyataan Belum Memiliki Rumah,-,"Durasi Pemrosesan:
0 Jam 22 Menit (Pada hari dan jam kerja)"
Biaya,Pembuatan,Surat Pernyataan Belum Memiliki Rumah,-,"Biaya:
Tidak dipungut biaya (Gratis)"
Persyaratan Dokumen,Pembuatan,Surat Pengantar Nikah,-,"Persyaratan Surat pengantar nikah:
1. Fotokopi KK calon mempelai Suami/Istri*
2. Pas foto 3x4 calon suami*
3. Pas foto 3x4 calon istri*
4. Fotokopi KK Orang Tua (jika KK Orang Tua berbeda dengan KK pemohon)*
5. Akta Kematian Orang Tua (jika sudah meninggal dunia)*
6. Akta cerai (bagi pemohon yang berstatus cerai hidup)*
7. Akta Kematian dan fotokopi Buku Nikah (bagi pemohon berstatus cerai mati)*
8. Surat Pernyataan (bila pemohon tidak mengetahui/memiliki data keberadaan orang tua)*"
Durasi,Pembuatan,Surat Pengantar Nikah,-,"Durasi Pemrosesan:
2 Hari Kerja (Pada hari dan jam kerja)"
Biaya,Pembuatan,Surat Pengantar Nikah,-,"Biaya:
Tidak dipungut biaya (Gratis)"
Persyaratan Dokumen,Pembuatan,Surat Pernyataan Belum Pernah Menikah,-,"Persyaratan Surat Pernyataan Belum Pernah Menikah:
1. KK Asli Pemohon*
2. Surat Pernyataan bermaterai 10.000 yang menyatakan belum pernah menikah*
Unduh dokumen : https://sswalfa.surabaya.go.id/storage/contohdokumen//1669348703_surat%20pernyataan%20jp.pdf
* Format file pdf, jpg, jpeg, png"
Persyaratan Dokumen,Pembuatan,Surat Kuasa Khusus untuk Pembayaran Pensiun,-,"Persyaratan Surat kuasa khusus untuk pembayaran pensiun:
1. Surat Pengantar RT-RW;*
2. KK Asli Pemohon*"
Persyaratan Dokumen,Pembuatan,Surat Pernyataan Belum Menikah Lagi bagi Janda / Duda,-,"Persyaratan Surat pernyataan belum menikah lagi bagi janda/duda:
1. KK Asli Pemohon*
2. Fotokopi Akta Cerai/Akta Kematian*
3. Surat Pernyataan bermaterai 10.000 yang menyatakan belum pernah menikah lagi
Unduh dokumen : https://sswalfa.surabaya.go.id/storage/contohdokumen//1669348752_surat%20pernyataan%20dj.pdf"
Persyaratan Dokumen,Pembuatan,"Surat Keterangan Izin Suami, Istri, Orang Tua, atau Izin Wali",-,"Persyaratan Surat keterangan izin suami/istri/orangtua, atau izin wali:
1. Surat Pengantar RT-RW*
2. KTP pemberi izin (suami/istri/orang tua/wali)*
3. KK pemberi izin (suami/istri/orang tua/wali)*
4. KTP calon pekerja migran Indonesia*
5. KK calon pekerja migran Indonesia*
6. Buku nikah (bagi calon pekerja migran Indonesia yang telah menikah)*
7. Surat keterangan status perkawinan (bagi calon pekerja migran Indonesia yang telah menikah)*
8. Kontrak kerja diluar negeri (jika ada)*"
Persyaratan Dokumen,Pembuatan,Surat Kuasa Penunjukan Pelimpahan Nomor Porsi Jemaah Haji Meninggal Dunia,-,"Persyaratan Surat kuasa penunjukan pelimpahan nomor porsi jemaah haji meninggal dunia:
1. Surat Pengantar RT-RW*
2. KTP Pemohon atau jemaah penerima pelimpahan nomor porsi*
3. KK Pemohon atau jemaah penerima pelimpahan nomor porsi*
4. Akta Kelahiran/Buku Nikah/dokumen yang dipersamakan atau bukti lain Pemohon atau jemaah penerima pelimpahan nomor porsi*
5. Akta Kematian jemaah haji meninggal dunia*
6. Bukti setoran awal dan/atau setoran lunas Biaya Perjalanan Ibadah Haji*
7. Surat Keterangan tanggung jawab mutlak yang ditandatangani oleh jemaah haji penerima pelimpahan nomor porsi*"
