No,Pertanyaan,Jawaban
1,Surat Pernyataan Belum memiliki rumah,"Persyaratan Surat Pernyataan Belum memiliki rumah:
1. KK Pemohon *
2. KTP Pemohon *
3. Form Permohonan Rusunawa dari Dinas Perumahan Rakyat dan Kawasan Permukiman serta Pertanahan.*
Unduh Dokumen :
* Format file pdf, jpg, jpeg, png

Alur Perizinan:

Durasi Pemrosesan:
0 Jam 22 Menit (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)"
2,Surat pengantar nikah,"Persyaratan Surat pengantar nikah:
1. Fotokopi KK calon mempelai Suami/Istri*
2. Pas foto 3x4 calon suami*
3. Pas foto 3x4 calon istri*
4. Fotokopi KK Orang Tua (jika KK Orang Tua berbeda dengan KK pemohon)*
5. Akta Kematian Orang Tua (jika sudah meninggal dunia)*
6. Akta cerai (bagi pemohon yang berstatus cerai hidup)*
7. Akta Kematian dan fotokopi Buku Nikah (bagi pemohon berstatus cerai mati)*
8. Surat Pernyataan (bila pemohon tidak mengetahui/memiliki data keberadaan orang tua)*

Unduh Dokumen :
* Format file pdf, jpg, jpeg, png

Alur Perizinan:

Durasi Pemrosesan:
2 Hari Kerja (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)"
3,Surat Pernyataan tidak memiliki rumah,"Persyaratan Surat Pernyataan tidak memiliki rumah:
1. KK Asli Pemohon*

* Format file pdf, jpg, jpeg, png

Alur Perizinan:

Durasi Pemrosesan:
0 Jam 22 Menit (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)"
4,Surat pernyataan belum pernah menikah,"Persyaratan Surat Pernyataan tidak memiliki rumah:
1. KK Asli Pemohon*
2. Surat Pernyataan bermaterai 10.000 yang menyatakan belum pernah menikah*
Unduh dokumen : https://sswalfa.surabaya.go.id/storage/contohdokumen//1669348703_surat%20pernyataan%20jp.pdf
* Format file pdf, jpg, jpeg, png

Alur Perizinan:

Durasi Pemrosesan:
0 Jam 22 Menit (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)"
5,Surat kuasa khusus untuk pembayaran pensiun,"Persyaratan Surat kuasa khusus untuk pembayaran pensiun:
1. Surat Pengantar RT-RW;*
2. KK Asli Pemohon*

* Format file pdf, jpg, jpeg, png

Alur Perizinan:

Durasi Pemrosesan:
0 Jam 22 Menit (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)"
6,Surat pernyataan belum menikah lagi bagi janda/duda,"Persyaratan Surat pernyataan belum menikah lagi bagi janda/duda:
1. KK Asli Pemohon*
2. Fotokopi Akta Cerai/Akta Kematian*
3. Surat Pernyataan bermaterai 10.000 yang menyatakan belum pernah menikah lagi
Unduh dokumen : https://sswalfa.surabaya.go.id/storage/contohdokumen//1669348752_surat%20pernyataan%20dj.pdf
* Format file pdf, jpg, jpeg, png

Alur Perizinan:

Durasi Pemrosesan:
0 Jam 22 Menit (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)"
7,"Surat keterangan izin suami/istri/orangtua, atau izin wali (persyaratan pekerja migran Indonesia)","Persyaratan Surat keterangan izin suami/istri/orangtua, atau izin wali (persyaratan pekerja migran Indonesia):
1. Surat Pengantar RT-RW*
2. KTP pemberi izin (suami/istri/orang tua/wali)*
3. KK pemberi izin (suami/istri/orang tua/wali)*
4. KTP calon pekerja migran Indonesia*
5. KK calon pekerja migran Indonesia*
6. Buku nikah (bagi calon pekerja migran Indonesia yang telah menikah)*
7. Surat keterangan status perkawinan (bagi calon pekerja migran Indonesia yang telah menikah)*
Unduh dokumen:
8. Kontrak kerja diluar negeri (jika ada)*
* Format file pdf, jpg, jpeg, png

Alur Perizinan:

Durasi Pemrosesan:
0 Jam 22 Menit (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)"
8,Surat kuasa penunjukan pelimpahan nomor porsi jemaah haji meninggal dunia (persyaratan pelimpahan nomor porsi haji),"Persyaratan Surat kuasa penunjukan pelimpahan nomor porsi jemaah haji meninggal dunia (persyaratan pelimpahan nomor porsi haji):
1. Surat Pengantar RT-RW*
2. KTP Pemohon atau jemaah penerima pelimpahan nomor porsi*
3. KK Pemohon atau jemaah penerima pelimpahan nomor porsi*
4. Akta Kelahiran/Buku Nikah/dokumen yang dipersamakan atau bukti lain Pemohon atau jemaah penerima pelimpahan nomor porsi*
5. Akta Kematian jemaah haji meninggal dunia*
6. Bukti setoran awal dan/atau setoran lunas Biaya Perjalanan Ibadah Haji*
7. Surat Keterangan tanggung jawab mutlak yang ditandatangani oleh jemaah haji penerima pelimpahan nomor porsi*
Unduh dokumen:

* Format file pdf, jpg, jpeg, png

Alur Perizinan:

Durasi Pemrosesan:
0 Jam 22 Menit (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)"
9,Surat pernyataan daftar riwayat hidup untuk pendaftaran sebagai TNI,"Persyaratan Surat pernyataan daftar riwayat hidup untuk pendaftaran sebagai TNI:
1. Surat Pengantar RT-RW*
2. KK Asli Pemohon*

Unduh dokumen:

* Format file pdf, jpg, jpeg, png

Alur Perizinan:

Durasi Pemrosesan:
0 Jam 22 Menit (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)"
10,Surat permohonan penerbitan BPKPB (untuk kehilangan BPKPB),"Persyaratan Surat permohonan penerbitan BPKPB (untuk kehilangan BPKPB):
1. Surat Pengantar RT-RW*
2. Fotokopi KTP*
3. Fotokopi KK Pemohon*
4. Fotokopi STNK yang berkenaan*
5. Fotokopi Surat Pernyataan sebagai pemilik kendaraan (watermark Ditlantas)*
6. Bukti Pembelian Kendaraan (bila BPKB belum balik nama pemohon)*
7. Surat Laporan Kehilangan dari Kepolisian*

* Format file pdf, jpg, jpeg, png

Alur Perizinan:
Gambar ada

Durasi Pemrosesan:
3 hari kerja (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)

Kontak:
"
11,Surat keterangan ahli waris (SKAW): Untuk orangtua atau pasangan dalam perkawinan sebagai pewaris,"Persyaratan Surat keterangan ahli waris (SKAW): Untuk orangtua atau pasangan dalam perkawinan sebagai pewaris:
1. KTP/Kartu Keluarga/dokumen kependudukan Pewaris lainnya*
2. Akta Kematian Pewaris*
3. Buku Nikah Pewaris atau Dokumen Lain yang Dipersamakan (Dokumen Lain yang Dipersamakan yang diterbitkan oleh KUA, Catatan Sipil dan Pengadilan)*
4. Akta Kematian Ahli Waris (apabila Ahli Waris meninggal dunia)*
5. Akta Kelahiran Ahli Waris*
6. KTP Ahli Waris*
7. Kartu Keluarga Ahli Waris*
8. KTP 2 (dua) orang saksi*
9. Surat pengantar dari Ketua RT dengan diketahui oleh Ketua RW*
10. Surat pernyataan para Ahli Waris sesuai dengan silsilah keluarga yang menyatakan sebagai Ahli Waris dan ditandatangani oleh para Ahli Waris dan 2 (dua) orang saksi serta dibubuhi meterai*
11. Surat Pernyataan kebenaran semua kelengkapan dokumen menjadi tanggung jawab pemohon*, unduh dokumen disini: https://sswalfa.surabaya.go.id/storage/contohdokumen/1638954358_SuratPernyataan%20KebenaranSemuaKelengkapanDokumenMenjadiTanggungJawabPemohon.doc

* Format file pdf, jpg, jpeg, png

Alur Perizinan:
Gambar ada

Durasi Pemrosesan:
3 hari kerja (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)

Kontak:
"
12,Surat keterangan ahli waris (SKAW): Untuk anak kandung yang belum menikah dan belum punya anak sebagai pewaris,"Persyaratan Surat keterangan ahli waris (SKAW): Untuk anak kandung yang belum menikah dan belum punya anak sebagai pewaris:
1. KTP/Kartu Keluarga/dokumen kependudukan Pewaris lainnya
2. Akta Kematian Pewaris
3. Akta Kelahiran/ Copy Kartu Keluarga Pewaris
4. Akta Kematian Ahli Waris (apabila Ahli Waris meninggal dunia)
5. Akta Kelahiran Ahli Waris
6. KTP Ahli Waris
7. Kartu Keluarga Ahli Waris
8. KTP 2 (dua) orang saksi
9. Surat pengantar dari Ketua RT dengan diketahui oleh Ketua RW
10. Surat pernyataan para Ahli Waris sesuai dengan silsilah keluarga yang menyatakan sebagai Ahli Waris dan ditandatangani oleh para Ahli Waris dan 2 (dua) orang saksi serta dibubuhi meterai
11. Surat Pernyataan kebenaran semua kelengkapan dokumen menjadi tanggung jawab pemohon, unduh dokumen disini: https://sswalfa.surabaya.go.id/storage/contohdokumen/1638954358_SuratPernyataan%20KebenaranSemuaKelengkapanDokumenMenjadiTanggungJawabPemohon.doc

* Format file pdf, jpg, jpeg, png

Alur Perizinan:
Gambar ada

Durasi Pemrosesan:
3 hari kerja (Pada hari dan jam kerja)

Biaya:
Tidak dipungut biaya (Gratis)

Kontak:
"
